suso,30,2.93121407e+03,6.51333431e-04
inso,31,1.83661311e+02,5.86166079e+01
waso,31,2.18135926e+03,6.53989444e+01
soot,31,1.10518995e+03,5.61258050e+03
suso,31,2.89001982e+03,6.91134084e-04
inso,32,1.84385293e+02,5.82580873e+01
waso,32,2.12685161e+03,6.40958991e+01
soot,32,1.06175864e+03,5.50334715e+03
suso,32,2.84882558e+03,7.29539154e-04
inso,33,1.85062440e+02,5.79256760e+01
waso,33,2.07820589e+03,6.57373545e+01
soot,33,1.02494406e+03,5.42209061e+03
suso,33,2.80869959e+03,1.16627695e-03
inso,34,1.85740766e+02,5.75920867e+01
waso,34,2.02969244e+03,6.72465384e+01
soot,34,9.88778505e+02,5.34018505e+03
suso,34,2.76857361e+03,1.59024255e-03
inso,35,1.86420270e+02,5.72573192e+01
waso,35,1.98131126e+03,6.86234510e+01
soot,35,9.53261969e+02,5.25763047e+03
suso,35,2.72844765e+03,2.00143593e-03
inso,36,1.87100952e+02,5.69213737e+01
waso,36,1.93306235e+03,6.98680922e+01
soot,36,9.18394454e+02,5.17442687e+03
suso,36,2.68832169e+03,2.39985710e-03
inso,37,1.87782812e+02,5.65842502e+01
waso,37,1.88494572e+03,7.09804620e+01
soot,37,8.84175959e+02,5.09057425e+03
suso,37,2.64819576e+03,2.78550607e-03
inso,38,1.88459791e+02,5.62640996e+01
waso,38,1.83612895e+03,7.23518840e+01
soot,38,8.54644595e+02,5.01972428e+03
suso,38,2.61072930e+03,2.65589564e-03
inso,39,1.89137945e+02,5.59427744e+01
waso,39,1.78746599e+03,7.35695098e+01
soot,39,8.25614812e+02,4.94837272e+03
suso,39,2.57326284e+03,2.52887417e-03
inso,40,1.89817273e+02,5.56202747e+01
waso,40,1.73895681e+03,7.46333396e+01
soot,40,7.97086609e+02,4.87651958e+03
suso,40,2.53579639e+03,2.40444165e-03
