rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
8,5.000000,480,580,760,0.029355877,0.015290785,0.020017156,0.011836145,0.030462296,0.037354883,0.051735436,1.033928527,65536
8,10.000000,480,580,760,0.031803410,0.015905774,0.021344684,0.011495962,0.033533167,0.041834902,0.054251985,1.334951103,65536
8,20.000000,480,580,760,0.027401590,0.014784524,0.018419547,0.011425076,0.029222383,0.035928173,0.045050168,1.305620233,65536
8,45.000000,480,580,760,0.020150273,0.012638661,0.014581969,0.011764160,0.019266284,0.022273214,0.028937809,1.155675907,65536
8,90.000000,480,580,760,0.068719569,0.015810396,0.063721237,0.011719029,0.017083985,0.019993327,0.031372623,1.116669164,65536
9,-2.000000,480,580,770,0.022325082,0.012867626,0.015425624,0.011023466,0.022550286,0.027597832,0.041842898,0.435556746,65536
9,-1.000000,480,580,770,0.022932966,0.012777769,0.015826112,0.010720324,0.022997174,0.028427416,0.044176371,0.442420953,65536
9,0.000000,480,580,770,0.029446787,0.013189251,0.021859843,0.010654698,0.024118814,0.030347777,0.049224421,2.018712135,65536
9,1.000000,480,580,770,0.031031322,0.014226353,0.022194541,0.011078750,0.026953062,0.035347123,0.058309339,2.052024799,65536
9,2.000000,480,580,770,0.030369747,0.014758266,0.021115543,0.011458753,0.028556722,0.037016817,0.059760994,1.382083569,65536
9,5.000000,480,580,770,0.029356129,0.015288176,0.020018056,0.011832803,0.030461037,0.037352290,0.051749209,1.035432241,65536
9,10.000000,480,580,770,0.031792372,0.015899569,0.021337044,0.011490666,0.033520806,0.041821311,0.054237793,1.334599324,65536
9,20.000000,480,580,770,0.027391170,0.014779569,0.018412653,0.011424328,0.029208954,0.035914068,0.045031342,1.305019279,65536
9,45.000000,480,580,770,0.020147001,0.012636965,0.014579902,0.011762297,0.019263989,0.022268397,0.028926142,1.155228366,65536
9,90.000000,480,580,770,0.068685001,0.015808713,0.063685666,0.011716607,0.017090840,0.019997342,0.031381113,1.116182401,65536
10,-2.000000,480,580,720,0.021961908,0.012650080,0.015187149,0.010842418,0.022186841,0.027099037,0.041214459,0.435516674,65536
10,-1.000000,480,580,720,0.022614290,0.012603848,0.015623342,0.010586138,0.022679423,0.027963790,0.043447002,0.442267000,65536
10,0.000000,480,580,720,0.026658882,0.012994823,0.019211809,0.010583761,0.023787306,0.029788289,0.047863076,1.564910005,65536
10,1.000000,480,580,720,0.029983884,0.014035478,0.021400195,0.011052977,0.026475303,0.034334757,0.056092443,1.907825513,65536
10,2.000000,480,580,720,0.029536954,0.014605234,0.020560543,0.011479928,0.028043143,0.035905644,0.057454355,1.315117341,65536
10,5.000000,480,580,720,0.029362959,0.015394196,0.020019821,0.011958644,0.030547506,0.037372551,0.051320795,0.990256686,65536
10,10.000000,480,580,720,0.032210781,0.016132200,0.021620335,0.011656074,0.033992864,0.042361784,0.054904548,1.347533681,65536
10,20.000000,480,580,720,0.027819835,0.014978839,0.018681770,0.011521598,0.029713743,0.036552258,0.045716928,1.326913839,65536
10,45.000000,480,580,720,0.020321666,0.012737422,0.014696377,0.011904839,0.019435148,0.022501155,0.029082190,1.173573568,65536
10,90.000000,480,580,720,0.070002516,0.015918099,0.065046506,0.011826634,0.016918955,0.019824041,0.031280680,1.134563309,65536
11,-2.000000,480,580,780,0.022330900,0.012870997,0.015429483,0.011026149,0.022556008,0.027605665,0.041860367,0.435557931,65536
11,-1.000000,480,580,780,0.022938679,0.012780439,0.015829441,0.010722433,0.023000536,0.028436952,0.044177181,0.442423957,65536
11,0.000000,480,580,780,0.029656310,0.013195267,0.022064615,0.010656414,0.024124879,0.030366780,0.049226558,2.040346165,65536
11,1.000000,480,580,780,0.031053386,0.014229824,0.022211930,0.011078591,0.026964552,0.035365823,0.058346935,2.055002044,65536
11,2.000000,480,580,780,0.030383423,0.014760987,0.021125785,0.011458342,0.028560344,0.037030552,0.059798454,1.383439455,65536
11,5.000000,480,580,780,0.029356404,0.015286897,0.020018555,0.011831143,0.030459955,0.037351399,0.051748250,1.036268754,65536
11,10.000000,480,580,780,0.031786812,0.015896546,0.021333316,0.011487005,0.033515524,0.041813981,0.054225734,1.334425032,65536
11,20.000000,480,580,780,0.027386352,0.014777228,0.018409357,0.011423604,0.029197938,0.035907980,0.045026850,1.304720766,65536
11,45.000000,480,580,780,0.020145526,0.012636296,0.014579039,0.011759473,0.019260542,0.022265946,0.028922575,1.155003396,65536
11,90.000000,480,580,780,0.068669493,0.015808076,0.063668504,0.011715727,0.017095490,0.020003957,0.031382241,1.115956065,65536
