rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
7,0.000000,440,490,580,680,0.019731498,0.009759169,0.014173190,0.007935829,0.017264845,0.022233234,0.037897539,1.428538067,65536
7,1.000000,440,490,580,680,0.019879188,0.009854674,0.014001741,0.007805721,0.017953835,0.023509790,0.039158981,0.861500099,65536
7,2.000000,440,490,580,680,0.019303012,0.009788001,0.013472169,0.007744901,0.018041767,0.023323375,0.038985670,0.851331569,65536
7,5.000000,440,490,580,680,0.017644246,0.009274191,0.012471667,0.007647683,0.016578141,0.020690315,0.032978481,0.648602977,65536
7,10.000000,440,490,580,680,0.016203941,0.009045941,0.011381413,0.007800447,0.015892571,0.019290112,0.028562579,0.461345507,65536
7,20.000000,440,490,580,680,0.014925348,0.008926793,0.010576837,0.008280426,0.014772805,0.017394043,0.025293984,0.360276847,65536
7,45.000000,440,490,580,680,0.015038595,0.009282212,0.010767528,0.008791342,0.014781471,0.017084267,0.023686181,0.409216407,65536
7,90.000000,440,490,580,680,0.027179528,0.010976428,0.022643150,0.009266188,0.015608300,0.018145514,0.027702111,0.479549921,65536
8,-2.000000,410,480,530,590,0.018238123,0.010239756,0.012535190,0.008628861,0.018101053,0.022811733,0.035861640,0.308199739,65536
8,-1.000000,410,480,530,590,0.018435167,0.010083389,0.012672801,0.008301033,0.018118350,0.023049463,0.037130134,0.312984518,65536
8,0.000000,410,480,530,590,0.026145207,0.010179944,0.020001893,0.007899876,0.018816912,0.024573257,0.040988422,2.073347794,65536
8,1.000000,410,480,530,590,0.023420582,0.010548002,0.016415292,0.007732030,0.020471517,0.028021162,0.048202186,1.268027921,65536
8,2.000000,410,480,530,590,0.022603571,0.010423706,0.015518803,0.007595456,0.020635807,0.028339072,0.047410729,1.121864823,65536
8,5.000000,410,480,530,590,0.017954576,0.009007348,0.012407317,0.007076350,0.016822791,0.022189037,0.034930549,0.608502655,65536
8,10.000000,410,480,530,590,0.014617720,0.008004668,0.010372258,0.006854937,0.013797673,0.016981849,0.027002341,0.424977317,65536
8,20.000000,410,480,530,590,0.013735420,0.008093550,0.009722339,0.007414184,0.013646631,0.016052323,0.023673177,0.150258307,65536
8,45.000000,410,480,530,590,0.014670092,0.009033899,0.010455664,0.008710764,0.014819546,0.016857709,0.022649165,0.250300194,65536
8,90.000000,410,480,530,590,0.020993666,0.010401420,0.016515055,0.009438670,0.015781824,0.017914443,0.026560047,0.360687261,65536
9,-2.000000,440,500,580,670,0.017667869,0.009891418,0.012242799,0.008310482,0.017193369,0.021700281,0.035697488,0.196825778,65536
9,-1.000000,440,500,580,670,0.017898693,0.009748969,0.012448172,0.008061541,0.017122165,0.021802084,0.036930131,0.488624763,65536
9,0.000000,440,500,580,670,0.019410151,0.009772307,0.013913398,0.007988170,0.016962399,0.021987013,0.038063509,0.832041040,65536
9,1.000000,440,500,580,670,0.018501019,0.009748891,0.012992398,0.008008684,0.016945276,0.022034483,0.038130253,0.629940388,65536
9,2.000000,440,500,580,670,0.017906450,0.009658265,0.012566252,0.008000740,0.016622846,0.021360792,0.036682086,0.498909218,65536
9,5.000000,440,500,580,670,0.016651742,0.009347960,0.011804067,0.008062930,0.015620423,0.019390702,0.032437388,0.563485428,65536
9,10.000000,440,500,580,670,0.015916763,0.009273709,0.011260993,0.008179562,0.015357782,0.018623083,0.028630742,0.322769321,65536
9,20.000000,440,500,580,670,0.015537300,0.009323531,0.010989986,0.008358478,0.015312481,0.018189255,0.026480725,0.367704246,65536
9,45.000000,440,500,580,670,0.015289502,0.009460383,0.010916602,0.008532622,0.015043495,0.017491599,0.024308663,0.494841874,65536
9,90.000000,440,500,580,670,0.032649701,0.011238627,0.028152785,0.008735272,0.015290981,0.017987666,0.027028208,0.604726340,65536
10,-2.000000,410,470,540,620,0.019032106,0.010362629,0.013078209,0.008476253,0.018664681,0.023815587,0.039455625,0.214605989,65536
10,-1.000000,410,470,540,620,0.019368570,0.010339145,0.013320007,0.008362499,0.018657660,0.024194253,0.040551422,0.313596240,65536
10,0.000000,410,470,540,620,0.022226772,0.010469546,0.016023032,0.008275102,0.019094561,0.024814962,0.041853157,1.189423978,65536
10,1.000000,410,470,540,620,0.021008305,0.010548399,0.014634783,0.008258529,0.019471897,0.025494086,0.043091487,0.692302113,65536
10,2.000000,410,470,540,620,0.020052429,0.010447789,0.013789506,0.008253006,0.019311110,0.025051689,0.042236897,0.337642062,65536
10,5.000000,410,470,540,620,0.018977484,0.009997691,0.013257093,0.008121511,0.018080644,0.022881567,0.037882685,0.609604425,65536
10,10.000000,410,470,540,620,0.017646001,0.009655588,0.012314060,0.008105537,0.017018012,0.021327763,0.034089191,0.391354188,65536
10,20.000000,410,470,540,620,0.016342122,0.009460450,0.011499723,0.008418760,0.015988012,0.019369596,0.029690288,0.317258728,65536
10,45.000000,410,470,540,620,0.015368760,0.009589567,0.010973565,0.009105743,0.015272120,0.017580777,0.024658170,0.250834160,65536
10,90.000000,410,470,540,620,0.025272266,0.011058006,0.020692003,0.009656361,0.015866389,0.018321054,0.027910242,0.499955149,65536
11,-2.000000,440,490,570,660,0.018546546,0.010216798,0.012680454,0.008370911,0.018757210,0.023464369,0.036409195,0.192854651,65536
11,-1.000000,440,490,570,660,0.019092083,0.010342200,0.013077312,0.008364320,0.019113621,0.024059084,0.038002490,0.311561383,65536
11,0.000000,440,490,570,660,0.022842766,0.010649887,0.016532928,0.008358785,0.019701572,0.025239355,0.040886648,1.083796956,65536
11,1.000000,440,490,570,660,0.023329213,0.011110172,0.016462696,0.008522833,0.021089017,0.027466068,0.044879710,1.072929348,65536
11,2.000000,440,490,570,660,0.022108612,0.011129832,0.015111502,0.008535994,0.021623328,0.027988442,0.045094651,0.756089118,65536
11,5.000000,440,490,570,660,0.020896650,0.010476878,0.014564029,0.008307622,0.019842885,0.025330483,0.038162606,0.935617156,65536
11,10.000000,440,490,570,660,0.016830171,0.009444876,0.011927128,0.008469170,0.015895128,0.019612174,0.029037629,0.663994280,65536
11,20.000000,440,490,570,660,0.015047596,0.009393714,0.010814464,0.009357467,0.015039633,0.016932529,0.022912997,0.303782552,65536
11,45.000000,440,490,570,660,0.016687789,0.010811263,0.012094847,0.011134881,0.016782154,0.018371765,0.022388774,0.227112023,65536
11,90.000000,440,490,570,660,0.022568016,0.012464440,0.017631210,0.012170449,0.017926984,0.019747227,0.026206309,0.354548512,65536
