rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
7,0.000000,430,500,580,690,0.023976379,0.012752719,0.017344345,0.011016739,0.021395977,0.026528136,0.043775730,1.126142591,65536
7,1.000000,430,500,580,690,0.026636220,0.013912060,0.019063336,0.011890765,0.023333002,0.030291537,0.050182887,1.375028986,65536
7,2.000000,430,500,580,690,0.027875128,0.014861454,0.019695603,0.012816321,0.024594005,0.032718099,0.054025742,1.266964954,65536
7,5.000000,430,500,580,690,0.027901357,0.016344455,0.020131814,0.015514264,0.025954164,0.031078172,0.047595292,1.261809293,65536
7,10.000000,430,500,580,690,0.030510507,0.019454006,0.022213376,0.020298997,0.030678360,0.033188525,0.039808692,0.959462438,65536
7,20.000000,430,500,580,690,0.038659612,0.026026456,0.028376518,0.028485342,0.038715057,0.041132376,0.046330790,0.458502412,65536
7,45.000000,430,500,580,690,0.047680826,0.033436349,0.035530868,0.036478492,0.046363745,0.048599831,0.053445281,0.768600722,65536
7,90.000000,430,500,580,690,0.076783007,0.039428013,0.063939523,0.039604068,0.049105662,0.051373933,0.058200903,1.013912129,65536
8,-2.000000,480,490,580,680,0.021352837,0.013404797,0.015195439,0.012328543,0.020667924,0.024629589,0.037232698,0.393394595,65536
8,-1.000000,480,490,580,680,0.022054938,0.013644072,0.015714830,0.012469725,0.021264671,0.025360433,0.038925888,0.398723065,65536
8,0.000000,480,490,580,680,0.024172976,0.014187555,0.017566259,0.012892351,0.022031541,0.026426869,0.040917639,1.464599131,65536
8,1.000000,480,490,580,680,0.025360198,0.015104300,0.018204605,0.013627560,0.023872102,0.028622373,0.042807442,0.942968925,65536
8,2.000000,480,490,580,680,0.026313709,0.015908181,0.018696718,0.014311175,0.025430828,0.030467967,0.043983610,0.854009142,65536
8,5.000000,480,490,580,680,0.031719003,0.018626341,0.021970673,0.016325422,0.031360324,0.038993321,0.052821940,1.014724188,65536
8,10.000000,480,490,580,680,0.036327539,0.021332422,0.025203214,0.019439291,0.034588861,0.044497300,0.057478225,1.544494752,65536
8,20.000000,480,490,580,680,0.034537862,0.023185262,0.025192391,0.023318943,0.031795890,0.037381884,0.046904961,1.464552672,65536
8,45.000000,480,490,580,680,0.035151070,0.025078557,0.026474271,0.025612668,0.032998976,0.034707196,0.038196147,1.361101685,65536
8,90.000000,480,490,580,680,0.091107678,0.031183780,0.082029283,0.026630911,0.034811054,0.036313580,0.041005211,1.351083634,65536
9,-2.000000,400,470,570,680,0.024990109,0.015236420,0.017549676,0.013862932,0.025354564,0.029761732,0.042566728,0.222814552,65536
9,-1.000000,400,470,570,680,0.026210918,0.016013139,0.018446324,0.014569133,0.026645856,0.031058377,0.043845436,0.315390908,65536
9,0.000000,400,470,570,680,0.029083092,0.017283128,0.020824095,0.015708545,0.028214847,0.033035991,0.047483227,1.196411186,65536
9,1.000000,400,470,570,680,0.032154712,0.018666940,0.023056801,0.016796347,0.030289088,0.036391648,0.055115301,1.132020031,65536
9,2.000000,400,470,570,680,0.035619897,0.019878714,0.025476021,0.017613031,0.032337049,0.040575503,0.062876754,1.729903618,65536
9,5.000000,400,470,570,680,0.036711357,0.021133254,0.026030093,0.019048152,0.034191627,0.042725056,0.061487413,1.698688598,65536
9,10.000000,400,470,570,680,0.034992893,0.021181411,0.024793624,0.019265106,0.034165853,0.040797074,0.052350753,1.397490861,65536
9,20.000000,400,470,570,680,0.031619820,0.020185379,0.022536116,0.018254515,0.031665722,0.036334816,0.044721150,1.418378856,65536
9,45.000000,400,470,570,680,0.027256945,0.018714922,0.020178288,0.017456018,0.025782106,0.028314627,0.034664624,1.205737765,65536
9,90.000000,400,470,570,680,0.085350601,0.022960255,0.078755090,0.017679348,0.023722073,0.026382045,0.036301010,1.356178341,65536
10,-2.000000,430,510,580,660,0.021369159,0.012619017,0.014861910,0.011079154,0.021272575,0.026028995,0.040229964,0.186755898,65536
10,-1.000000,430,510,580,660,0.022067092,0.012937077,0.015459318,0.011391881,0.021519924,0.026431095,0.042104660,0.325190597,65536
10,0.000000,430,510,580,660,0.025624685,0.013612036,0.018658919,0.011848556,0.022450598,0.027863063,0.044396430,1.465861329,65536
10,1.000000,430,510,580,660,0.026028349,0.014536111,0.018569513,0.012639589,0.024039947,0.029835343,0.046919161,0.961872782,65536
10,2.000000,430,510,580,660,0.026337208,0.015290556,0.018490953,0.013383069,0.025140943,0.031385022,0.049090534,0.748650167,65536
10,5.000000,430,510,580,660,0.029118242,0.017250469,0.020543631,0.015399300,0.027633123,0.034298442,0.049782214,1.117474951,65536
10,10.000000,430,510,580,660,0.031744915,0.019890332,0.022859328,0.018703486,0.029503493,0.035542349,0.049302574,1.430882137,65536
10,20.000000,430,510,580,660,0.034128066,0.023630876,0.025282125,0.023566108,0.032313958,0.035383764,0.043883780,1.246851130,65536
10,45.000000,430,510,580,660,0.038929078,0.028026579,0.029314671,0.028359330,0.036220155,0.038457631,0.043866890,1.289168370,65536
10,90.000000,430,510,580,660,0.092776439,0.034681614,0.082566592,0.030172953,0.038389501,0.040839386,0.048985666,1.402735617,65536
11,-2.000000,480,500,580,660,0.019489561,0.011646242,0.013664863,0.010468724,0.018908195,0.023298792,0.035968665,0.402029585,65536
11,-1.000000,480,500,580,660,0.020503438,0.011861156,0.014290647,0.010463500,0.019689380,0.024851165,0.038851192,0.404955489,65536
11,0.000000,480,500,580,660,0.024618878,0.012682223,0.017864682,0.011019096,0.021280679,0.027016787,0.042007802,1.463831672,65536
11,1.000000,480,500,580,660,0.026308370,0.013925237,0.018403972,0.011912311,0.024261625,0.031617595,0.047860002,0.969659907,65536
11,2.000000,480,500,580,660,0.029108388,0.015423379,0.019820907,0.012958536,0.028174467,0.037149924,0.054931884,1.014487422,65536
11,5.000000,480,500,580,660,0.038559387,0.019556577,0.025912995,0.016571997,0.036858526,0.050585569,0.070480479,1.804039882,65536
11,10.000000,480,500,580,660,0.040612786,0.022273382,0.028144977,0.021074731,0.035363552,0.049871234,0.066976632,2.121580231,65536
11,20.000000,480,500,580,660,0.037209366,0.024315703,0.027319414,0.025159691,0.036852010,0.039559809,0.047535728,1.696894389,65536
11,45.000000,480,500,580,660,0.040668963,0.027112409,0.029770477,0.028277484,0.041335643,0.043593945,0.047286194,1.311576355,65536
11,90.000000,480,500,580,660,0.085861163,0.033412233,0.074453542,0.030980395,0.043924253,0.045630484,0.049357922,1.188558116,65536
