rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
8,20.000000,490,590,690,0.062452481,0.044080885,0.046831503,0.048492259,0.060247819,0.062483913,0.066339841,1.494839600,65536
8,45.000000,490,590,690,0.075555054,0.054782883,0.057265906,0.060589720,0.071265061,0.073156592,0.076384092,1.786662859,65536
8,90.000000,490,590,690,0.148884545,0.066046027,0.129615117,0.064717624,0.075507292,0.077077713,0.080780598,2.004802880,65536
9,-2.000000,480,580,710,0.022875520,0.013309234,0.015912489,0.011578799,0.022729248,0.027852123,0.043275453,0.477458974,65536
9,-1.000000,480,580,710,0.024136483,0.013907187,0.016872546,0.012080637,0.023817555,0.029055748,0.045792698,0.483830698,65536
9,0.000000,480,580,710,0.028348457,0.015228989,0.020507191,0.013168070,0.025772751,0.031365065,0.049344419,1.330015248,65536
9,1.000000,480,580,710,0.032300887,0.017278137,0.023297980,0.014788122,0.029340264,0.036011625,0.056935563,1.694386225,65536
9,2.000000,480,580,710,0.034003445,0.019130834,0.024113116,0.016488845,0.032616291,0.039561316,0.059578484,1.407960679,65536
9,5.000000,480,580,710,0.041294793,0.024257337,0.028602794,0.020677601,0.042457136,0.050767993,0.066489529,1.124888500,65536
9,10.000000,480,580,710,0.052042534,0.029819218,0.035872364,0.024542802,0.053374583,0.064680682,0.080915555,2.066445375,65536
9,20.000000,480,580,710,0.054672000,0.033428167,0.037989576,0.028354078,0.056595786,0.066729693,0.079648735,2.459137492,65536
9,45.000000,480,580,710,0.051793153,0.035551336,0.038350565,0.034638041,0.048828383,0.053770355,0.062646607,2.654723291,65536
9,90.000000,480,580,710,0.174155167,0.045594966,0.162050990,0.036565852,0.044207460,0.048416706,0.066262026,2.696264871,65536
10,-2.000000,480,580,670,0.022011028,0.012701136,0.015237026,0.010940623,0.022488647,0.027096004,0.039471683,0.476514823,65536
10,-1.000000,480,580,670,0.024655693,0.014368090,0.017135391,0.012427648,0.025243968,0.030081207,0.042402077,0.482021945,65536
10,0.000000,480,580,670,0.028280403,0.016508881,0.019955359,0.014334884,0.028416080,0.033300177,0.044867983,0.828935307,65536
10,1.000000,480,580,670,0.031015052,0.018646950,0.021799648,0.016192745,0.031772954,0.036861616,0.048149032,0.637901015,65536
10,2.000000,480,580,670,0.034759893,0.020973659,0.024286793,0.018041921,0.036080818,0.041892401,0.053951459,0.705319345,65536
10,5.000000,480,580,670,0.049343718,0.028063595,0.033731020,0.022544171,0.051988647,0.062450793,0.079615343,1.412322127,65536
10,10.000000,480,580,670,0.060204051,0.031894209,0.040603017,0.024146845,0.062827047,0.078404134,0.096545475,2.570292848,65536
10,20.000000,480,580,670,0.056781846,0.031118086,0.038289703,0.027157376,0.060845627,0.073968572,0.087517000,2.787432267,65536
10,45.000000,480,580,670,0.045850962,0.028454046,0.032997827,0.031345407,0.044743535,0.051412539,0.059004979,2.689362021,65536
10,90.000000,480,580,670,0.174253477,0.036612417,0.164346886,0.028673365,0.038561874,0.039626366,0.056064809,2.707396271,65536
11,-2.000000,480,520,640,0.033136954,0.020469154,0.023272312,0.018778989,0.032065720,0.039458569,0.060444870,0.421777270,65536
11,-1.000000,480,520,640,0.035509538,0.021436604,0.024764038,0.019436360,0.033778545,0.042982003,0.067420487,0.542810717,65536
11,0.000000,480,520,640,0.041336233,0.023523893,0.029156026,0.020876874,0.036794612,0.048720826,0.081521946,1.467416661,65536
11,1.000000,480,520,640,0.054500913,0.027346321,0.037781195,0.022966566,0.045362448,0.066878872,0.109411036,2.427750958,65536
11,2.000000,480,520,640,0.066961306,0.031096726,0.045814011,0.025293281,0.055026370,0.084589181,0.133313238,3.573290101,65536
11,5.000000,480,520,640,0.075973910,0.036890934,0.052045704,0.033279586,0.060820543,0.095712824,0.149841744,4.493223173,65536
11,10.000000,480,520,640,0.070712339,0.041131373,0.051740974,0.043608249,0.067596949,0.075885460,0.108700524,3.819280817,65536
11,20.000000,480,520,640,0.077460952,0.048779776,0.056289315,0.055058217,0.080168216,0.084686545,0.093015403,2.214463008,65536
11,45.000000,480,520,640,0.090693498,0.058533916,0.066394340,0.070555571,0.092962500,0.097196631,0.104518221,1.380333314,65536
11,90.000000,480,520,640,0.122674142,0.067647059,0.097007717,0.075540330,0.098922081,0.102665699,0.110295060,1.240755036,65536
